,,Real effective exchange rate (index; narrow definition; 27 economies) - Australia - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Austria - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Belgium - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Canada - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Chinese Taipei - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Denmark - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Euro area - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Finland - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - France - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Germany - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Greece - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Hong Kong SAR - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Ireland - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Italy - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Japan - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Korea - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Mexico - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Netherlands - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - New Zealand - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Norway - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Portugal - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Singapore - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Spain - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Sweden - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - Switzerland - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - United Kingdom - BIS - Monthly,Real effective exchange rate (index; narrow definition; 27 economies) - United States - BIS - Monthly
Date string,,Australia,Austria,Belgium,Canada,Chinese Taipei,Denmark,Euro area,Finland,France,Germany,Greece,Hong Kong SAR,Ireland,Italy,Japan,Korea,Mexico,Netherlands,New Zealand,Norway,Portugal,Singapore,Spain,Sweden,Switzerland,United Kingdom,United States
2004-04-30,2004-04-30,92.98,94.09,93.45,98.79,92.46,98.79,100.82,98.55,104.8,102.48,103.86,85.51,108.44,102.68,122.94,89.87,131.6,97.96,90.12,115.03,101.74,78.6,97.11,119.01,84.7,121.79,85.16
2004-05-31,2004-05-31,89.19,94.53,93.83,96.88,92.24,99.17,101.84,98.75,105.21,102.85,104.46,86.16,108.98,102.96,118.7,89,128.41,98.24,88.86,116.46,102.21,78.37,97.65,119.87,85.81,121.09,86.93
2004-06-30,2004-06-30,86.86,94.71,93.73,97.73,90.88,98.99,101.65,98.68,105.16,102.76,104.01,85.2,109.5,103.04,120.88,89.35,129.2,97.55,90.42,115.34,102.35,76.78,97.7,119.09,87.11,122.49,86
2004-07-31,2004-07-31,89.22,94.64,94.35,100.34,91.02,99.12,102.29,98.99,105.31,103.36,102.38,84.83,109.64,103.49,120.1,89.68,128.43,97.72,92.11,113.17,102.51,77.23,97.16,118.86,86.11,122.48,85.18
2004-08-31,2004-08-31,88.92,94.85,94.23,100.78,90.38,98.64,102.26,99.04,105.3,103.21,101.84,85.05,110.13,103.5,119.14,90.95,130.19,97.84,93.86,114.67,101.88,77.26,97.42,118.53,85.55,121.75,85.29
2004-09-30,2004-09-30,87.69,94.91,94.32,102.6,90.98,99.08,102.58,99.27,105.46,102.9,103.88,84.67,110.4,103.52,119.42,91.23,129.76,98.77,94.72,114.66,101.79,77.98,97.66,120.64,85.29,119.58,84.84
2004-10-31,2004-10-31,90.2,95.41,94.91,105.27,90.16,99.36,103.76,99.62,105.8,103.16,104.81,83.9,111.09,103.54,119.69,90.35,130.31,98.97,96.23,116.66,102.2,77.67,98.69,121.4,86.18,118.15,83.47
2004-11-30,2004-11-30,92.6,95.7,95.24,109.37,89.43,99.6,105,99.59,106.36,103.6,105.19,81.83,112.53,104.07,121.34,92.07,130.34,99.26,95.62,118.54,102.92,76.86,99.21,122.21,88.04,117.9,80.68
2004-12-31,2004-12-31,91.1,96.13,95.14,106.8,89.95,99.52,106.93,99.94,106.79,105.54,105.72,80.61,113.51,104.61,119.98,94.34,132.25,98.72,96.79,117.53,103.02,76.03,99.12,122.95,87.4,119.94,79.29
2005-01-31,2005-01-31,91.89,96.42,95.46,106.43,90.82,99.42,105.33,99.59,106.13,104.38,105.89,80.74,112.08,104.6,120.98,97.18,131.82,98.98,96.01,117.58,102.88,76.04,98.38,121.44,86.35,118.41,80.34
2005-02-28,2005-02-28,93.91,96.04,95.48,105.09,92.83,99.86,104.67,99.71,106.14,104.07,103.96,80.85,112.12,104.31,118.13,99.33,133.33,98.94,97.09,115.53,102.32,76.52,98.06,120.83,85.84,119.61,80.9
2005-03-31,2005-03-31,93.43,96.21,95.78,106.63,93.31,99.95,105.69,99.73,106.5,104.33,105.94,80.01,112.27,104.27,116.54,100.42,132.4,99.63,98.24,117.59,102.16,75.77,98.49,120.44,85.79,119.21,80.34
2005-04-30,2005-04-30,92.88,95.69,95.52,105.09,93.38,99.75,104.61,99.4,106.06,103.14,106.26,80.97,111.62,103.86,114.84,101.15,133.22,99.22,98.19,117.66,102.17,75.79,99.51,118.6,85.89,120.33,81.7
2005-05-31,2005-05-31,92.66,95.52,95.22,103.73,94.73,99.32,103.56,98.49,105.55,102.72,106.03,81.16,111.15,103.66,116.19,102.11,135.02,98.54,98.84,118.91,102.24,75.89,99.27,117.58,85.39,119.74,82.1
2005-06-30,2005-06-30,94.86,95.14,94.71,105.71,96.56,98.56,101.06,97.68,104.68,101.66,105.08,83.21,109.62,102.72,115.16,102.67,137.67,97.13,99.12,120.79,101.71,75.47,98.83,115.38,84.55,121,83.23
2005-07-31,2005-07-31,94.76,94.8,95.4,107.56,97.31,98.79,101.63,97.59,104.58,102.4,103.95,84.29,109.74,103.26,112.42,101.8,140.09,97.01,96.62,120.86,102.23,76.71,98.31,113.26,83.2,117.86,84.09
2005-08-31,2005-08-31,94.69,94.88,95.42,108.67,96.09,98.62,102.27,97.93,104.99,102.57,103.37,82.91,110.42,103.39,112.3,102.31,138.96,97.52,97.84,120.87,102.14,76.97,98.64,114.58,83.65,118.73,83.15
2005-09-30,2005-09-30,95.07,94.88,94.95,111.09,93.53,98.62,101.8,97.85,104.85,102.04,105.23,83.43,110.53,102.82,111.85,101.76,136.97,97.92,98.27,122.58,101.82,76.03,98.81,114.54,83.62,119.58,83.65
2005-10-31,2005-10-31,95.07,94.82,94.61,111.11,93.41,98.38,101.57,97.67,104.53,101.73,105.79,84.8,110.1,102.82,109.11,101.56,137.14,97.61,99.75,122.18,101.97,77.01,99.5,113.31,84.06,118.5,85.04
2005-11-30,2005-11-30,94.4,94.61,94.59,111.5,93.36,98.26,101,97.61,104.25,101.38,105.55,86.34,109.7,102.89,106.61,103.68,141.87,97.31,100.67,122.61,102.39,77.89,99.65,111.37,84.03,118.83,85.32
2005-12-31,2005-12-31,94.88,94.72,94.47,113.48,93.46,98.19,101.45,97.38,104.24,102.17,105.84,85.89,109.59,102.72,105.93,105.45,143.3,96.64,100.82,119.8,102.3,78.66,99.7,112.91,83.64,119,84.11
2006-01-31,2006-01-31,94.46,94.87,94.84,113.18,95.15,98.16,101.53,97.28,104.48,102.07,105.82,84.2,109.88,103.3,106.91,108.32,143.47,96.61,98.23,118.95,102.29,78.95,99.54,114.09,83.83,117.72,83.3
2006-02-28,2006-02-28,94.57,94.53,94.73,113.98,94.18,98.62,100.99,97.54,104.34,102.02,103.98,84.43,110.3,103.02,104.62,111.14,144.78,96.43,97.2,119.06,102.11,79.86,99.11,113.65,83.21,118.07,83.83
2006-03-31,2006-03-31,92.98,94.77,94.61,113.27,92.96,98.79,102.04,97.82,104.6,102,106.34,84.47,110.97,103.21,105.05,110.65,140.67,97.23,92.01,120.37,103.15,79.62,99.72,113.43,82.34,116.85,84.29
2006-04-30,2006-04-30,93.44,95.04,94.88,114.03,93.46,98.8,103.17,98.05,104.82,102.27,106.82,83.49,112.11,103.3,103.7,111.86,135.6,97.56,89.26,123.04,103.09,79.86,100.91,114.45,82.58,116.5,83.98
2006-05-31,2006-05-31,94.56,95.19,95.24,116.65,93.02,98.9,103.94,98.23,105.32,102.39,106.92,81.18,112.84,103.67,106.45,109.82,132.22,97.77,87.96,123.67,103.35,78.62,101.13,114.67,83.88,119.68,81.72
2006-06-30,2006-06-30,92.97,95.22,95.16,116.39,92.64,99.03,104.05,98.26,105.25,102.65,106.8,82.42,112.99,103.71,104.53,109.44,129.18,97.35,87.9,122.4,103.23,78.28,101.27,115.85,83.6,119.28,83.07
2006-07-31,2006-07-31,94.8,95.03,95.5,114.64,92.43,98.95,104.21,98.11,105.08,103.17,106.1,82.44,113.43,104.1,102.99,110.43,134.11,97.16,87.53,120.9,103.14,79.28,100.65,116.16,82.71,119.14,83.08
2006-08-31,2006-08-31,95.64,95.34,95.47,115.25,90.93,98.83,104.25,98.5,105.37,102.8,105.25,81.98,113.9,104.22,102.98,109.2,135.67,97.65,89.06,119.97,102.82,79.32,100.72,116.27,82.35,121.91,82.43
2006-09-30,2006-09-30,95.05,95.24,95.2,115.51,90.53,99.2,104.11,98.65,105.19,102.41,106.96,82.47,114.34,104.21,102.33,111.23,136.43,98.11,92.51,117.66,103.37,79.44,100.61,116.25,81.77,122.3,82.35
2006-10-31,2006-10-31,95.39,95.3,94.96,114.62,90.48,99.06,103.97,98.89,104.84,102.48,107.5,83.08,114.01,104.04,101.32,111.58,138.95,97.78,94.05,115.7,103.31,80.45,101,116.39,81.64,122.78,82.46
2006-11-30,2006-11-30,96.48,95.47,95.39,113.74,90.56,98.91,104.85,98.96,105.2,102.82,107.53,82.25,115.12,104.36,100.88,112.06,139.08,97.88,93.68,117.69,103.46,80.76,101.37,118.76,81.78,123.36,81.51
2006-12-31,2006-12-31,96.56,95.58,95.55,111.72,90.66,99,106.24,99.13,105.53,104.09,108.02,81.49,116.06,104.5,99.69,112.34,139.85,97.64,95.63,118.4,103.54,80.83,101.56,119.73,81.73,124.79,80.68
2007-01-31,2007-01-31,97.47,95.72,95.54,109.69,91.18,99.03,105.41,99.02,105.1,104.06,107.73,82.4,115.4,104.59,97.73,112.92,140.01,97.67,97.42,115.63,103.45,80.8,100.89,118.92,80.32,125.71,82.41
2007-02-28,2007-02-28,97.2,95.64,95.88,110.44,90.73,99.95,105.91,99.6,105.13,104.34,106.17,80.85,116.32,104.78,96.6,113.38,139.14,97.97,97.16,118.77,103.25,81.4,100.79,117.73,80.12,125.32,82.47
2007-03-31,2007-03-31,97.5,95.93,95.68,110.48,88.1,100.31,107.01,100.22,105.42,104.41,108.44,81.39,117.35,104.7,98.83,111.55,136.38,98.98,96.83,118.64,104.19,80.78,101.35,116.79,80.36,123.2,82.32
2007-04-30,2007-04-30,100.83,96.22,95.92,113.28,88,100.05,108.35,100.56,105.75,104.91,108.92,79.94,118.33,104.64,96.16,112.42,136.51,99.41,100.06,118.53,104.56,81.03,102.52,117.99,79.94,123.62,81.32
2007-05-31,2007-05-31,100.95,96.5,95.65,117.38,87.93,100.09,108.47,100.34,105.87,104.74,109.06,79.94,118.61,104.84,94.51,113,137.13,99.37,99.95,118.15,104.54,81.08,102.67,118.02,79.29,123.22,81.08
2007-06-30,2007-06-30,103.59,96.31,95.44,120.45,89.77,99.9,107.98,100.41,105.74,104.6,108.73,80.72,118.29,104.85,92.8,113.43,136.92,98.69,102.96,119.13,104.28,80.38,102.66,116.26,78.98,124.27,81.08
2007-07-31,2007-07-31,105.42,96.36,96.09,121.68,89.01,99.72,108.71,100.41,105.72,105.61,108.08,79.9,119.35,105.4,92.43,113.8,137.28,98.45,105.26,120.95,104.28,82.3,102.05,118.43,78.83,124.45,79.91
2007-08-31,2007-08-31,100.85,96.08,95.74,120.63,88.97,99.45,108.15,100.41,105.94,105.1,107.08,79.51,119.49,105.31,97.38,110.88,134.87,98.36,98.04,120.25,103.61,81.99,102.01,116.39,79.38,123.88,79.9
2007-09-30,2007-09-30,101.82,96.27,95.94,123.72,88.52,99.88,109.48,100.87,106.24,105.47,109.3,79.06,120.56,105.43,97.69,110.69,135.02,99.17,95.9,123.16,104.04,81.13,102.43,118,79.1,122.09,78.61
2007-10-31,2007-10-31,106.63,96.94,96.48,128.88,90.56,99.89,110.81,101.01,106.46,105.81,110.03,78.93,121.25,105.72,95.11,111.04,136.84,99.26,99.11,125.33,104.18,83.64,103.7,119.96,78.68,121.38,76.7
2007-11-30,2007-11-30,104.5,97.13,97.46,129.35,88.53,100.7,112.8,101.58,107.09,106.67,110.81,77.32,122.7,106.1,97.87,107.89,135.44,99.55,98.3,123.61,104.27,83.69,104.37,119.52,80.26,119.71,75.47
2007-12-31,2007-12-31,102.72,97.62,97.63,124.72,87.91,100.65,113.62,101.43,107.33,107.26,111.12,78.21,122.84,106.25,97.49,107.59,137.02,98.97,100.52,123.84,104.13,83.61,104.65,117.77,79.79,118.21,76.4
2008-01-31,2008-01-31,103.36,97.52,98.39,123.02,86.26,101.61,113.97,102.85,107.48,107.06,111.08,76.53,123.2,107.03,101.14,105.26,136.09,99.55,99.85,124.87,104.39,84.84,104.28,117.47,81.91,113.41,76.45
2008-02-29,2008-02-29,106.61,97.17,98.64,124.12,88.8,102.29,113.68,102.73,107.2,107.04,109.79,76.93,124.29,106.77,100.62,104.57,137.68,99.73,101.47,124.98,104.03,85.89,104,118.22,82.28,113.12,75.84
2008-03-31,2008-03-31,104.93,97.79,99.55,122.33,87.72,102.85,117.2,104,108.22,107.96,112.6,74.4,127.04,107.43,104.89,97.57,136.63,101.1,99.48,125.14,105.25,84.97,104.89,119.16,84.74,110.49,74.11
2008-04-30,2008-04-30,105.29,98.38,99.99,120.72,89.32,103.19,118.85,104.42,108.81,107.96,113.53,74.04,127.92,107.89,101.98,96.95,139.04,101.81,97.73,125.45,105.33,87.16,106.19,120.31,84.28,108.62,74.05
2008-05-31,2008-05-31,108.52,98.5,100.16,123.25,89.1,102.68,118.51,104.23,108.6,107.82,113.81,74.56,127.5,107.72,101.48,93.28,139.35,101.37,96.48,126.13,105.11,88.06,106.22,120.61,82.76,108.86,74.63
2008-06-30,2008-06-30,109.23,98.37,100.38,120.97,91.58,102.66,118.44,104.36,108.56,107.79,113.23,75,127.52,107.79,98.76,94.35,140.51,100.81,94.9,124.03,105.19,87.49,106.42,120.01,83.14,109.3,75.32
2008-07-31,2008-07-31,110.1,98.1,100.96,120.9,91.14,102.8,118.94,104.3,108.3,108.64,112.23,74.82,127.53,108.42,98,95.67,141.85,100.99,93.58,124.37,104.66,88.23,105.9,119.04,82.76,109.36,74.93
2008-08-31,2008-08-31,104.44,97.58,99.69,117.55,91.42,102.18,116.16,103.97,107.65,107.27,110.69,75.99,126.27,108.03,98.99,95.45,146.58,100.45,92.38,124.62,103.97,88.24,105.26,119.13,81.71,109.05,76.98
2008-09-30,2008-09-30,98.93,97.38,99.24,118.33,89.96,102.14,114.35,103.94,106.91,106.36,112.67,76.7,125.2,107.03,104.66,89.13,141.59,100.12,90.84,122.96,104.31,88.32,104.8,117.5,82.39,107.51,78.93
2008-10-31,2008-10-31,86.12,96.68,98.13,108.25,91.73,101.63,110.61,103.44,105.71,104.58,112.29,79.65,122.46,105.97,118.44,77.87,123.19,98.58,87.93,116.31,103.75,89.74,104.53,113.28,85.71,107.26,84.78
2008-11-30,2008-11-30,84.83,96.6,97.89,106.8,91.4,102.23,110.09,103.57,105.48,104.23,112.55,83.3,121.81,105.86,126.11,74.78,123.35,98.41,84.33,113.76,103.6,90.3,104.56,109.81,85.22,101.14,86.09
2008-12-31,2008-12-31,84.61,97.53,99.48,104.64,87.32,104.75,115.9,105.91,107.06,106.92,113.6,81.35,124.55,107.45,132.1,74.24,120.82,99.63,81.54,109.62,104.21,89.42,105.53,104.34,85.15,94.49,84.08
2009-01-31,2009-01-31,86.09,97.23,99.75,105.27,86.63,104.67,114.2,105.66,106.69,106.25,113.08,81.97,122.54,107.36,133.29,75.7,117.24,99.94,80.62,111.77,104.06,89.16,104.42,104.35,87.3,92.2,85.44
2009-02-28,2009-02-28,84.77,96.75,99.12,104.9,84.92,104.98,112.31,104.9,106.12,105.82,111.32,83.4,119.8,106.67,132.59,73.43,112.45,99.59,77.73,117.38,103.42,89.24,103.6,101.21,86.73,95.32,88.28
2009-03-31,2009-03-31,87.25,97.52,99.2,103.6,85.86,106.23,115.73,106.02,107.16,106.74,114.25,84.29,121.41,107.51,125.02,74.04,112.4,101.67,79.98,117.93,104.54,88.46,104.32,99.64,86.09,92.81,88.79
2009-04-30,2009-04-30,91.86,97.35,99.05,105.29,86.8,105.16,114.84,105.15,106.86,106.12,113.76,82.88,119.81,107.25,120.8,80.04,121.7,101.49,83.3,117.73,104.2,87.71,104.91,101.94,86.03,94.88,86.06
2009-05-31,2009-05-31,95.96,97.71,99.01,111.66,86.91,105.22,115.01,104.65,107.07,106.16,113.78,80.22,119.46,107.51,119.5,83.19,121.98,101.73,84.63,117.37,103.93,88.21,104.82,104.55,86.5,97,82.92
2009-06-30,2009-06-30,99.28,97.61,98.9,113.52,86.23,105.81,115.94,105.46,107.31,106.9,113.86,79.19,119.08,107.69,117.54,81.52,119.5,101.53,87.91,116.72,103.85,87.27,105.27,102.06,86.65,101.04,82.31
2009-07-31,2009-07-31,99.56,97.47,99.2,113.25,85.53,105.87,115.55,105.04,107.14,107.32,113.33,78.8,118.64,108.07,119.8,81.36,119.6,100.66,88.87,116.4,103.77,87.9,104.68,102.56,86.2,101.06,82
2009-08-31,2009-08-31,102.29,97.57,99.23,116.16,86.39,105.04,115.65,104.37,107.46,107.28,112.15,76.65,118.97,108.11,118.03,82.32,122.23,100.7,91.86,118.7,103.11,87.72,104.76,108.49,85.94,100.93,80.53
2009-09-30,2009-09-30,103.94,98.08,99.45,116.36,84.98,105.55,116.9,104.92,107.72,107.24,114.69,75.94,119.87,108.33,121.16,82.7,118.36,101.82,93.67,120.83,103.69,87.21,104.97,109.38,86.79,98.05,79.8
2009-10-31,2009-10-31,108,98.23,99.74,118.64,84.86,105.7,118.16,104.55,107.99,107.62,115.31,76.63,120.45,108.54,120.23,84.31,119.61,102.19,95.77,124.4,103.61,88.08,105.9,108.48,87.57,95.59,78.44
2009-11-30,2009-11-30,109.01,98.31,99.88,118.21,83.53,105.57,117.87,104.56,107.98,107.29,115.7,76.05,120.08,108.37,120.94,84.66,120.91,101.92,93.51,123.8,103.59,88.15,106.31,108,87.79,97.7,77.83
2009-12-31,2009-12-31,108.41,97.82,99.56,118.87,83.92,104.83,116.94,104.11,107.67,107.6,115.29,77.09,118.46,107.99,120.64,85.57,124.37,100.65,92.97,123.75,103.34,87.85,105.77,106.83,87.48,97.48,77.98
2010-01-31,2010-01-31,110.96,97.49,99.61,120.49,85.55,104.55,113.44,103.48,106.91,106.04,113.83,77.32,116.5,107.68,118.93,89.11,126.16,100,94.53,126.4,102.95,88.87,104.35,107.94,88.66,98.69,78.54
2010-02-28,2010-02-28,109.67,96.62,98.89,120.12,86.11,104.27,110.5,102.21,106.34,104.88,112.19,78.94,114.89,106.55,122.28,88.68,126.3,99.38,92.51,127.08,102.43,89.2,103.2,109.83,88.11,98.39,79.77
2010-03-31,2010-03-31,112.71,97.12,98.64,123.35,85.5,103.79,110.87,101.85,106.16,104.67,114.98,78.4,114.35,106.07,121.15,90.18,130.3,99.98,92.34,127.23,102.98,89.79,103.35,111.56,88.49,94.92,79.07
2010-04-30,2010-04-30,114.88,96.85,98.29,125.89,87.64,102.89,109.33,101.38,105.61,103.67,115.44,78.46,113.24,105.66,116.68,92.82,133.3,99.57,93.25,127.98,102.64,91.95,103.78,111.29,89.41,97.64,78.69
2010-05-31,2010-05-31,110.81,96.14,97.46,123.39,87.94,101.66,105.39,99.91,104.35,101.91,115.3,79.84,111.08,104.44,122.18,90.43,128.81,97.96,94.55,126.11,102.16,93.87,103.05,109.99,88.77,98.07,81.83
2010-06-30,2010-06-30,110.04,95.63,96.77,124.01,87.87,100.71,102.85,99.21,103.55,100.91,114.47,80.76,109.26,103.68,125.44,87.29,129.47,96.61,94.89,124.57,101.97,93.51,102.64,110.21,90.2,100.82,82.5
2010-07-31,2010-07-31,110.52,95.63,97.51,123.01,86.47,101.37,104.49,99.27,103.93,101.98,114.5,76.9,110.89,104.78,127.34,86.09,127.65,97.11,95.65,123.27,102.59,94.28,102.67,111.99,92.77,100.92,80.87
2010-08-31,2010-08-31,112.23,95.53,97.25,122.55,85.67,101.42,104.05,99.37,103.88,101.74,113.29,75.7,111.28,104.71,129.26,87.08,127.79,96.94,94.69,123.74,102.09,94.91,102.64,112.44,92.83,102.79,79.94
2010-09-30,2010-09-30,115.57,95.73,97.66,122.93,85.15,101.35,104.55,99.64,103.85,101.58,115.43,74.97,111.58,104.45,129.48,88.26,127.32,97.67,95.41,124.22,102.29,95.32,102.77,115.71,95.1,100.62,79.07
2010-10-31,2010-10-31,116.9,96.81,98.76,123.61,85.36,102.2,108.71,101.17,104.99,103.09,116.44,74.65,114.32,105.65,129.77,88.24,130,98.93,95.74,122.79,102.88,94.81,104.46,116.79,94.13,97.84,76.07
2010-11-30,2010-11-30,118.53,96.21,98.36,124.55,87.71,101.77,107.11,100.88,104.5,102.52,116.23,75.16,112.77,105.06,128.62,87.62,132.47,98.17,99.16,121.8,102.61,95.96,104.56,116.02,93.82,100.05,76.23
2010-12-31,2010-12-31,120.95,95.67,97.66,125.42,89.19,100.16,104.64,99.69,103.69,101.7,115.47,76.02,111.18,104.12,128.02,87.62,132.82,96.65,97.41,124.75,102.05,96.35,104.15,118.46,97.13,100.25,77.01
2011-01-31,2011-01-31,120.61,95.76,98.29,126.61,90.51,100.47,103.63,99.9,103.43,101.25,114.51,75.25,110.88,104.63,127.25,89.86,135.45,96.51,98.47,125.28,102.88,98.21,103.35,120.14,97.43,100.88,76.23
2011-02-28,2011-02-28,121.23,96.12,98.68,126.66,89.73,101.31,104.83,100.15,103.82,102.04,112.74,75.14,112.15,104.86,125.62,89.7,135.46,97.13,96.61,125.37,102.58,97.87,103.25,122.49,96.4,101.93,75.59
2011-03-31,2011-03-31,120.1,96.99,99.1,127.93,86.89,101.64,107.55,100.77,104.6,102.67,116.24,74.08,113.77,105.12,125.44,88.38,134.61,98.32,92.95,125.57,103.79,97.32,103.76,121.5,97.58,99.4,74.9
2011-04-30,2011-04-30,123.59,97.74,99.62,129.36,88.07,102.21,109.77,101.3,105.21,103.09,116.89,73.46,115.14,105.92,120.2,90.21,136.33,99.26,96.71,127.01,103.89,97.6,105.18,120.96,97.18,98.95,73.71
2011-05-31,2011-05-31,124.38,97.43,99.51,128.35,88.17,101.9,108.21,100.89,104.73,102.35,116.66,73.07,114.31,105.45,123.15,89.68,135.5,98.82,97.36,125.55,103.61,98.32,104.75,120.87,100.12,99.14,73.88
2011-06-30,2011-06-30,123.49,97.19,99.97,126.32,88.18,102.01,108.35,101.52,104.84,102.49,116.38,72.97,114.57,105.52,124.01,89.95,133.72,98.39,99.91,125.83,103.44,98.08,104.65,118.64,103.75,97.99,74.06
2011-07-31,2011-07-31,125.22,96.66,99.68,129.18,87.38,101.91,106.38,100.81,103.86,102.14,114.26,72.22,113.74,105.38,125.29,92.02,135.7,98.46,103.18,125.99,103.32,100.7,103.76,118.2,105.64,98.06,73.55
2011-08-31,2011-08-31,121.36,96.42,99.3,125.94,86.04,101.81,105.91,101.07,104.13,101.84,112.34,69.64,113.63,105.36,129.18,90.3,129.23,98.34,102.28,124.97,102.62,101.51,103.61,117.57,110.49,99.32,74.19
2011-09-30,2011-09-30,120.75,96.56,98.86,124.8,85.52,101.12,105.33,100.69,103.44,101.3,115.85,72.14,112.54,104.86,132.83,87.87,122.51,97.91,101.22,125.74,103.13,99.84,103.4,117.54,101.84,99.35,76.79
2011-10-31,2011-10-31,120.26,96.76,98.88,123.27,84.87,101.12,106.05,100.89,103.57,101.41,115.94,75.13,112.81,105.45,134.35,85.73,119.99,97.83,98.68,125.11,103.88,98.78,104.06,117.69,99.14,99.51,77.5
2011-11-30,2011-11-30,120.67,96.56,98.99,123.11,85.45,100.77,105.38,100.7,103.55,101.17,115.72,75.73,112.18,105.01,132.32,87.83,119.39,97.17,96.77,124.06,103.5,98.73,104.21,117.3,98.5,100.84,77.93
2011-12-31,2011-12-31,122.27,96.23,98.26,123.29,86.29,99.85,103.66,99.75,103.2,100.43,114.93,77.03,110.37,104.62,133.13,87.82,120.61,96.07,97.49,123.48,103.04,99.11,103.67,118.06,97.53,101.94,78.4
2012-01-31,2012-01-31,125.77,95.36,98.42,124.7,87.05,99.95,100.65,99.6,102.18,99.41,113.5,77.7,108.53,104.3,135.11,88.55,124.28,95.3,100.95,123.67,103.61,101.3,102.01,118.87,98.05,102.35,78.47
2012-02-29,2012-02-29,127.85,95.55,98.92,125.85,86.47,100.85,101.95,99.9,102.53,100.18,111.45,76.5,109.89,104.62,130.44,89.61,129.55,96.02,103.71,126.88,103.43,101.91,101.9,119.82,98.81,102.46,76.97
2012-03-31,2012-03-31,125.85,96.08,98.6,126.25,87.41,100.66,103.27,100,102.95,100.33,114.03,76.96,110.48,104.6,123.97,89.99,129.54,96.81,102.76,126.48,104.02,102.64,102.03,118.31,98.68,102.3,77.59
2012-04-30,2012-04-30,123.21,96.28,98.23,126.67,88.01,100.03,102.89,99.97,102.59,99.65,114.57,76.81,109.78,104.7,125.71,88.71,125.55,96.77,102.63,125.2,103.66,103.47,103.12,118.23,98.44,103.99,77.91
2012-05-31,2012-05-31,120.62,95.88,97.65,125.31,88.95,99.92,100.95,99.66,102.01,98.81,113.86,77.59,108.53,104.17,129.74,87.78,120.63,95.99,98.76,124.8,103.13,103.59,102.6,115.8,97.77,105.58,79.52
2012-06-30,2012-06-30,122.58,95.87,97.23,123.34,88.92,99.41,100.04,99.38,101.84,98.37,113.4,78.54,107.85,104.16,131.26,87.97,119.21,95.28,100.38,124.04,102.92,103.24,102.29,116.83,97.13,104.37,80.68
2012-07-31,2012-07-31,127.7,95,96.67,124.97,89.18,98.58,97.5,98.02,100.64,97.84,111.17,77.05,106.43,103.56,131.47,89.75,125.29,95.13,102.19,123.58,102.61,105.3,101.47,120.44,96.19,106.32,80.02
2012-08-31,2012-08-31,128.97,94.96,96.7,126.93,89.2,98.06,97.56,97.47,100.95,97.93,109.6,76.18,106.79,103.57,130.73,90.1,126.29,94.86,102.33,124.28,101.98,105.96,101.66,123.95,95.86,106.43,79.26
2012-09-30,2012-09-30,125.58,96.02,97.4,127.58,88.72,98.54,100.13,98.6,101.12,98.72,112.6,74.92,107.83,104.05,129.18,89.78,127.85,95.83,101.81,125.26,102.52,106.11,103.03,121.53,95.93,106.11,77.72
2012-10-31,2012-10-31,124,96.31,97.69,126.56,89.35,98.73,101.08,99.06,101.38,98.87,113.48,76.89,108.09,104.11,127.05,90.91,128.94,96.59,102.01,126.04,102.6,106.06,103.97,119.81,96.09,105.73,77.38
2012-11-30,2012-11-30,126.39,96.31,97.57,125.76,90.02,98.47,100.52,98.69,101.2,98.84,112.82,77.7,107.46,103.87,123.99,93.33,128.85,96.14,102.36,127.36,102.33,107.09,103.86,119.52,96.11,106.28,77.87
2012-12-31,2012-12-31,126.62,96.73,98.01,125.74,90.51,98.56,102.59,99.28,101.96,99.86,112.71,77.61,108.57,104.51,118.86,94.51,131.23,96.51,103.5,128.16,102.42,107.73,104.18,119.64,96.13,106.24,76.92
